SKU,SKU Description,Term,Unit of Measure,Currency,List Price
MW01669,"Red Hat Advanced Cluster Security for Kubernetes, Full Support (2 Cores or 4 vCPUs, Dedicated or multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,495
MW01669HR,"Red Hat Advanced Cluster Security for Kubernetes, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.132
MW01669MO,"Red Hat Advanced Cluster Security for Kubernetes, Full Support (2 Cores or 4 vCPUs, Dedicated or multi-Tenant, Monthly)",MONTH,CORE BAND,USD,49.5
MW01670,"Red Hat Advanced Cluster Security for Kubernetes, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,412.5
MW01670HR,"Red Hat Advanced Cluster Security for Kubernetes, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.11
MW01670MO,"Red Hat Advanced Cluster Security for Kubernetes, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or multi-Tenant, Monthly)",MONTH,CORE BAND,USD,41.8
MW01711,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,4290
MW01711HR,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,1.177
MW01711MO,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,429
MW01712,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,3575
MW01712HR,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.979
MW01712MO,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced, Diagnostic Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,357.5
MW01713,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced (Bare Metal Node), Full Support (1-2 sockets up to 64 cores, Yearly)",ANNUAL,PHYSICAL NODE,USD,13200
MW01714,"Red Hat OpenShift Platform Plus with Red Hat OpenShift Data Foundation Advanced (Bare Metal Node), Diagnostic Support (1-2 sockets up to 64 cores, Yearly)",ANNUAL,PHYSICAL NODE,USD,11000
MW01992,"Red Hat Application Foundations, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,4158
MW02004HR,"Red Hat Application Foundations, Full Support (1 core or 2 vCPUS, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.308
MW02004MO,"Red Hat Application Foundations, Full Support (1 Core or 2 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,190.575
MW02090,"Red Hat Application Foundations, Extended Lifecycle Support Add-On, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,2079
MW02090HR,"Red Hat Application Foundations, Extended Lifecycle Support Add-On, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.62
MW02090MO,"Red Hat Application Foundations, Extended Lifecycle Support Add-On, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,381.2
MW02448,"Red Hat Application Foundations, Cluster Edition, Extended Lifecycle Support Add-On, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,2079
MW02448HR,"Red Hat Application Foundations, Cluster Edition, Extended Lifecycle Support Add-On, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.154
MW02448MO,"Red Hat Application Foundations, Cluster Edition, Extended Lifecycle Support Add-On, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,95.293
MW02449,"Red Hat Application Foundations, Cluster Edition, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Yearly)",ANNUAL,CORE BAND,USD,2079
MW02449HR,"Red Hat Application Foundations, Cluster Edition, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.154
MW02449MO,"Red Hat Application Foundations, Cluster Edition, Full Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Monthly)",MONTH,CORE BAND,USD,95.293
MW02461HR,"Red Hat Application Foundations, Cluster Edition, Full Support (1 Core or 2 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.14
MW02676,"Red Hat build of OpenJDK for Servers, Extended Life Cycle Support Add-On, Full Support (10 Cores or 20 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,1386
MW02677,"Red Hat build of OpenJDK for Servers, Extended Life Cycle Support Add-On, Full Support (200 Cores or 400 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,15246
MW02678,"Red Hat build of OpenJDK for Servers, Extended Life Cycle Support Add-On, Full Support (2,000 Cores or 4,000 vCPUs, Yearly)",ANNUAL,CORE BAND,USD,110880
MW02680HR,"Red Hat build of OpenJDK for Servers, Extended Life Cycle Support Add-On, Full Support (1 Core or 2 vCPUs, Hourly)",HOUR,CORE BAND,USD,0.022
MW02681MO,"Red Hat build of OpenJDK for Servers, Extended Life Cycle Support Add-On, Full Support (1 Core or 2 vCPUs, Monthly)",MONTH,CORE BAND,USD,14.3
MW02682,"Red Hat build of OpenJDK for Workstations, Extended Life Cycle Support Add-On, Full Support (50 Physical or Virtual Nodes, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,1386
MW02683,"Red Hat build of OpenJDK for Workstations, Extended Life Cycle Support Add-On, Full Support (1,000 Physical or Virtual Nodes, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,11550
MW02684,"Red Hat build of OpenJDK for Workstations, Extended Life Cycle Support Add-On, Full Support (10,000 Physical or Virtual Nodes, Yearly)",ANNUAL,PHYSICAL NODE OR VIRTUAL NODE,USD,103950
MW02686HR,"Red Hat build of OpenJDK for Workstations, Extended Life Cycle Support Add-On, Full Support (1 Physical or Virtual Node, Hourly)",HOUR,PHYSICAL NODE OR VIRTUAL NODE,USD,0.011
MW02687MO,"Red Hat build of OpenJDK for Workstations, Extended Life Cycle Support Add-On, Full Support (1 Physical or Virtual Node, Monthly)",MONTH,PHYSICAL NODE OR VIRTUAL NODE,USD,2.772
MW03434MO,"Red Hat Advanced Cluster Management for Kubernetes Extended Update Support Long-Life Add-On - Term 1, Layered Support (2 Cores, Monthly)",MONTH,CORE BAND,USD,12.6
MW03435HR,"Red Hat Advanced Cluster Management for Kubernetes Extended Update Support Add-On - Long-Life Offering - Additional Term 1, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.02
MW03436MO,"Red Hat Advanced Cluster Management for Kubernetes Extended Update Support Long-Life Add-On - Term 2, Layered Support (2 Cores, Monthly)",MONTH,CORE BAND,USD,25.21
MW03437HR,"Red Hat Advanced Cluster Management for Kubernetes Extended Update Support Add-On - Long-Life Offering - Additional Term 2, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.04
MW03633MO,"Red Hat OpenShift Container Platform Extended Update Support Long-Life Add-On - Term 1, Layered Support (2 Cores, Monthly)",MONTH,CORE BAND,USD,50
MW03634HR,"Red Hat OpenShift Container Platform Extended Update Support Add-On - Long-Life Offering - Additional Term 1, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.08
MW03635MO,"Red Hat OpenShift Container Platform Extended Update Support Long-Life Add-On - Term 2, Layered Support (2 Cores, Monthly)",MONTH,CORE BAND,USD,101
MW03636HR,"Red Hat OpenShift Container Platform Extended Update Support Add-On - Long-Life Offering - Additional Term 2, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.16
MW03662MO,"Red Hat OpenShift Platform Plus Extended Update Support Long-Life Add-On - Term 1, Layered Support (2 Cores, Monthly)",MONTH,CORE BAND,USD,50
MW03663HR,"Red Hat OpenShift Platform Plus Extended Update Support Add-On - Long-Life Offering - Additional Term 1, Layered Support (2 Cores or 4 vCPUs, Dedicated or Multi-Tenant, Hourly)",HOUR,CORE BAND,USD,0.08
